"storeCode";"login";"password";"code"
"ABCD12";"Storekeeper1";"password123";"SUPDA001"
"ABCD12";"Storekeeper1";"password123";"SUPDA002"
"ABCD12";"Storekeeper1";"password123";"SUPDA003"
"ABCD12";"Storekeeper1";"password123";"SUPDA004"
"ABCD12";"Storekeeper1";"password123";"SUPDA005"
"ABCD12";"Storekeeper1";"password123";"SUPDA006"
"ABCD12";"Storekeeper1";"password123";"SUPDA007"
"ABCD12";"Storekeeper1";"password123";"SUPDA008"
"ABCD12";"Storekeeper1";"password123";"SUPDA009"
"ABCD12";"Storekeeper1";"password123";"SUPDA010"
"ABCD12";"Storekeeper1";"password123";"SUPDA011"
"ABCD12";"Storekeeper1";"password123";"SUPDA012"
"ABCD12";"Storekeeper1";"password123";"SUPDA013"
"ABCD12";"Storekeeper1";"password123";"SUPDA014"
"ABCD12";"Storekeeper1";"password123";"SUPDA015"
"ABCD12";"Storekeeper1";"password123";"SUPDA016"
"ABCD12";"Storekeeper1";"password123";"SUPDA017"
"ABCD12";"Storekeeper1";"password123";"SUPDA018"
"ABCD12";"Storekeeper1";"password123";"SUPDA019"
"ABCD12";"Storekeeper1";"password123";"SUPDA020"
"EFGH13";"Storekeeper2";"password124";"SUPDA021"
"EFGH13";"Storekeeper2";"password124";"SUPDA022"
"EFGH13";"Storekeeper2";"password124";"SUPDA023"
"EFGH13";"Storekeeper2";"password124";"SUPDA024"
"EFGH13";"Storekeeper2";"password124";"SUPDA025"
"EFGH13";"Storekeeper2";"password124";"SUPDA026"
"EFGH13";"Storekeeper2";"password124";"SUPDA027"
"EFGH13";"Storekeeper2";"password124";"SUPDA028"
"EFGH13";"Storekeeper2";"password124";"SUPDA029"
"EFGH13";"Storekeeper2";"password124";"SUPDA030"
"EFGH13";"Storekeeper2";"password124";"SUPDA031"
"EFGH13";"Storekeeper2";"password124";"SUPDA032"
"EFGH13";"Storekeeper2";"password124";"SUPDA033"
"EFGH13";"Storekeeper2";"password124";"SUPDA034"
"EFGH13";"Storekeeper2";"password124";"SUPDA035"
"EFGH13";"Storekeeper2";"password124";"SUPDA036"
"EFGH13";"Storekeeper2";"password124";"SUPDA037"
"EFGH13";"Storekeeper2";"password124";"SUPDA038"
"EFGH13";"Storekeeper2";"password124";"SUPDA039"
"EFGH13";"Storekeeper2";"password124";"SUPDA040"
"IJKL14";"Storekeeper3";"password125";"SUPDA041"
"IJKL14";"Storekeeper3";"password125";"SUPDA042"
"IJKL14";"Storekeeper3";"password125";"SUPDA043"
"IJKL14";"Storekeeper3";"password125";"SUPDA044"
"IJKL14";"Storekeeper3";"password125";"SUPDA045"
"IJKL14";"Storekeeper3";"password125";"SUPDA046"
"IJKL14";"Storekeeper3";"password125";"SUPDA047"
"IJKL14";"Storekeeper3";"password125";"SUPDA048"
"IJKL14";"Storekeeper3";"password125";"SUPDA049"
"IJKL14";"Storekeeper3";"password125";"SUPDA050"
"IJKL14";"Storekeeper3";"password125";"SUPDA051"
"IJKL14";"Storekeeper3";"password125";"SUPDA052"
"IJKL14";"Storekeeper3";"password125";"SUPDA053"
"IJKL14";"Storekeeper3";"password125";"SUPDA054"
"IJKL14";"Storekeeper3";"password125";"SUPDA055"
"IJKL14";"Storekeeper3";"password125";"SUPDA056"
"IJKL14";"Storekeeper3";"password125";"SUPDA057"
"IJKL14";"Storekeeper3";"password125";"SUPDA058"
"IJKL14";"Storekeeper3";"password125";"SUPDA059"
"IJKL14";"Storekeeper3";"password125";"SUPDA060"
"MNOP15";"Storekeeper4";"password126";"SUPDA061"
"MNOP15";"Storekeeper4";"password126";"SUPDA062"
"MNOP15";"Storekeeper4";"password126";"SUPDA063"
"MNOP15";"Storekeeper4";"password126";"SUPDA064"
"MNOP15";"Storekeeper4";"password126";"SUPDA065"
"MNOP15";"Storekeeper4";"password126";"SUPDA066"
"MNOP15";"Storekeeper4";"password126";"SUPDA067"
"MNOP15";"Storekeeper4";"password126";"SUPDA068"
"MNOP15";"Storekeeper4";"password126";"SUPDA069"
"MNOP15";"Storekeeper4";"password126";"SUPDA070"
"MNOP15";"Storekeeper4";"password126";"SUPDA071"
"MNOP15";"Storekeeper4";"password126";"SUPDA072"
"MNOP15";"Storekeeper4";"password126";"SUPDA073"
"MNOP15";"Storekeeper4";"password126";"SUPDA074"
"MNOP15";"Storekeeper4";"password126";"SUPDA075"
"MNOP15";"Storekeeper4";"password126";"SUPDA076"
"MNOP15";"Storekeeper4";"password126";"SUPDA077"
"MNOP15";"Storekeeper4";"password126";"SUPDA078"
"MNOP15";"Storekeeper4";"password126";"SUPDA079"
"MNOP15";"Storekeeper4";"password126";"SUPDA080"
"ABCD16";"Storekeeper5";"password127";"SUPDA081"
"ABCD16";"Storekeeper5";"password127";"SUPDA082"
"ABCD16";"Storekeeper5";"password127";"SUPDA083"
"ABCD16";"Storekeeper5";"password127";"SUPDA084"
"ABCD16";"Storekeeper5";"password127";"SUPDA085"
"ABCD16";"Storekeeper5";"password127";"SUPDA086"
"ABCD16";"Storekeeper5";"password127";"SUPDA087"
"ABCD16";"Storekeeper5";"password127";"SUPDA088"
"ABCD16";"Storekeeper5";"password127";"SUPDA089"
"ABCD16";"Storekeeper5";"password127";"SUPDA090"
"ABCD16";"Storekeeper5";"password127";"SUPDA091"
"ABCD16";"Storekeeper5";"password127";"SUPDA092"
"ABCD16";"Storekeeper5";"password127";"SUPDA093"
"ABCD16";"Storekeeper5";"password127";"SUPDA094"
"ABCD16";"Storekeeper5";"password127";"SUPDA095"
"ABCD16";"Storekeeper5";"password127";"SUPDA096"
"ABCD16";"Storekeeper5";"password127";"SUPDA097"
"ABCD16";"Storekeeper5";"password127";"SUPDA098"
"ABCD16";"Storekeeper5";"password127";"SUPDA099"
"ABCD16";"Storekeeper5";"password127";"SUPDA100"
"EFGH17";"Storekeeper6";"password128";"SUPDA101"
"EFGH17";"Storekeeper6";"password128";"SUPDA102"
"EFGH17";"Storekeeper6";"password128";"SUPDA103"
"EFGH17";"Storekeeper6";"password128";"SUPDA104"
"EFGH17";"Storekeeper6";"password128";"SUPDA105"
"EFGH17";"Storekeeper6";"password128";"SUPDA106"
"EFGH17";"Storekeeper6";"password128";"SUPDA107"
"EFGH17";"Storekeeper6";"password128";"SUPDA108"
"EFGH17";"Storekeeper6";"password128";"SUPDA109"
