"login";"password";"firstName";"lastName";"name";"localization";"code"
"Storekeeper1";"password123";"Jan";"Kos";"Store1";"Localization address 1";"ABCD12"
"Storekeeper2";"password124";"Adam";"Nowak";"Store2";"Localization address 2";"EFGH13"
"Storekeeper3";"password125";"Dawid";"Kowalski";"Store3";"Localization address 3";"IJKL14"
"Storekeeper4";"password126";"Sebastian";"Kos";"Store4";"Localization address 4";"MNOP15"
"Storekeeper5";"password127";"Jozef";"Nowak";"Store5";"Localization address 5";"ABCD16"
"Storekeeper6";"password128";"Adrianna";"Kowalski";"Store6";"Localization address 6";"EFGH17"
"Storekeeper7";"password129";"Rafal";"Kos";"Store7";"Localization address 7";"IJKL18"
"Storekeeper8";"password130";"Zuzanna";"Nowak";"Store8";"Localization address 8";"MNOP19"
"Storekeeper9";"password131";"Oliwia";"Kowalski";"Store9";"Localization address 9";"ABCD20"
"Storekeeper10";"password132";"Pawel";"Kos";"Store10";"Localization address 10";"EFGH21"
"Storekeeper11";"password133";"Ilona";"Nowak";"Store11";"Localization address 11";"IJKL22"
"Storekeeper12";"password134";"TestName12";"Kowalski";"Store12";"Localization address 12";"MNOP23"
"Storekeeper13";"password135";"TestName13";"Kos";"Store13";"Localization address 13";"ABCD24"
"Storekeeper14";"password136";"TestName14";"Nowak";"Store14";"Localization address 14";"EFGH25"
"Storekeeper15";"password137";"TestName15";"Kowalski";"Store15";"Localization address 15";"IJKL26"
"Storekeeper16";"password138";"TestName16";"Kos";"Store16";"Localization address 16";"MNOP27"
"Storekeeper17";"password139";"TestName17";"Nowak";"Store17";"Localization address 17";"ABCD28"
"Storekeeper18";"password140";"TestName18";"Kowalski";"Store18";"Localization address 18";"EFGH29"
"Storekeeper19";"password141";"TestName19";"Kos";"Store19";"Localization address 19";"IJKL30"
"Storekeeper20";"password142";"TestName20";"Nowak";"Store20";"Localization address 20";"MNOP31"
